iso3,month,ndvi_mean
BEN,6,0.58160001039505
BEN,7,0.6186000108718872
BEN,8,0.6741999983787537
BEN,9,0.7197999954223633
BEN,10,0.7032999992370605
BEN,11,0.5781000256538391
BEN,12,0.4343000054359436
BFA,1,0.2644999921321869
BFA,2,0.2322999984025955
BFA,3,0.2313999980688095
BFA,4,0.2442000061273574
BFA,5,0.2657000124454498
BFA,6,0.3303000032901764
BFA,7,0.4296999871730804
BFA,8,0.5652999877929688
BFA,9,0.6294999718666077
BFA,10,0.5551999807357788
BFA,11,0.3971000015735626
BFA,12,0.3097000122070312
BGD,1,0.524399995803833
BGD,2,0.5525000095367432
BGD,3,0.6205999851226807
BGD,4,0.6057999730110168
BGD,5,0.5835999846458435
BGD,6,0.6139000058174133
BGD,7,0.579200029373169
BGD,8,0.6464999914169312
BGD,9,0.6902999877929688
BGD,10,0.7111999988555908
BGD,11,0.6078000068664551
BGD,12,0.5123999714851379
BGR,1,0.4043999910354614
BGR,2,0.4241000115871429
BGR,3,0.5058000087738037
BGR,4,0.652999997138977
BGR,5,0.7422000169754028
BGR,6,0.7062000036239624
BGR,7,0.6169999837875366
BGR,8,0.5619000196456909
BGR,9,0.5338000059127808
BGR,10,0.5389999747276306
BGR,11,0.460099995136261
BGR,12,0.4611999988555908
BHS,1,0.4918999969959259
BHS,2,0.4684000015258789
BHS,3,0.4481000006198883
BHS,4,0.4314000010490417
BHS,5,0.4045000076293945
BHS,6,0.4133999943733215
BHS,7,0.4228000044822693
BHS,8,0.4298000037670135
BHS,9,0.4354000091552734
BHS,10,0.4593999981880188
BHS,11,0.4934000074863434
BHS,12,0.505299985408783
BIH,1,0.4119000136852264
BIH,2,0.4744000136852264
BIH,3,0.4954000115394592
BIH,4,0.6298999786376953
BIH,5,0.7710000276565552
BIH,6,0.807699978351593
BIH,7,0.7939000129699707
BIH,8,0.7414000034332275
BIH,9,0.7177000045776367
BIH,10,0.695900022983551
BIH,11,0.6096000075340271
BIH,12,0.5278000235557556
BLR,1,0.1243999972939491
BLR,2,0.4314000010490417
BLR,3,0.4474000036716461
BLR,4,0.5756000280380249
BLR,5,0.7059999704360962
BLR,6,0.7603999972343445
BLR,7,0.7574999928474426
BLR,8,0.7376999855041504
